club_id,club_name,season,estimated_player_wages_eur,estimated_player_wages_original,estimated_player_wages_original_currency,estimated_player_wages_original_unit,weekly_wages_original,official_staff_costs_eur,currency_original,units_original,conversion_rate_to_eur,exchange_rate_source,source_name,source_url,date_accessed,evidence,confidence_level,requires_manual_review,notes,_source_file
arsenal,Arsenal,2011/12,,,,,,,,,,,Capology,https://www.capology.com/club/arsenal/salaries/2011-2012/,2026-05-05,[],low,True,No structured Capology season salary value was available for 2011/12 at https://www.capology.com/club/arsenal/salaries/2011-2012/. This likely reflects missing historical coverage for that season. EUR conversion is pending a project-level FX methodology.,arsenal_2011_12_wage_output.json
arsenal,Arsenal,2012/13,,,,,,,,,,,Capology,https://www.capology.com/club/arsenal/salaries/2012-2013/,2026-05-05,[],low,True,No structured Capology season salary value was available for 2012/13 at https://www.capology.com/club/arsenal/salaries/2012-2013/. This likely reflects missing historical coverage for that season. EUR conversion is pending a project-level FX methodology.,arsenal_2012_13_wage_output.json
arsenal,Arsenal,2013/14,,73670800.0,GBP,gross annual base wages,1416746.0,,GBP,full pounds,,,Capology,https://www.capology.com/club/arsenal/salaries/2013-2014/,2026-05-05,"[{'field': 'estimated_player_wages_eur', 'value_original': 73670800, 'unit_original': 'GBP gross annual base wages', 'page_or_location': 'meta_description', 'evidence_text': 'Estimated Gross Fixed Salaries for the 2013-2014 Season was £73,670,800, or £1,416,746 per week, not including bonuses.'}]",medium,True,"Capology wage estimates are not official figures. Values represent estimated gross fixed player salaries and exclude bonuses. EUR conversion is pending a project-level FX methodology, so the EUR field remains null for now.",arsenal_2013_14_wage_output.json
arsenal,Arsenal,2014/15,,94675400.0,GBP,gross annual base wages,1820681.0,,GBP,full pounds,,,Capology,https://www.capology.com/club/arsenal/salaries/2014-2015/,2026-05-05,"[{'field': 'estimated_player_wages_eur', 'value_original': 94675400, 'unit_original': 'GBP gross annual base wages', 'page_or_location': 'meta_description', 'evidence_text': 'Estimated Gross Fixed Salaries for the 2014-2015 Season was £94,675,400, or £1,820,681 per week, not including bonuses.'}]",medium,True,"Capology wage estimates are not official figures. Values represent estimated gross fixed player salaries and exclude bonuses. EUR conversion is pending a project-level FX methodology, so the EUR field remains null for now.",arsenal_2014_15_wage_output.json
arsenal,Arsenal,2015/16,,96781400.0,GBP,gross annual base wages,1861181.0,,GBP,full pounds,,,Capology,https://www.capology.com/club/arsenal/salaries/2015-2016/,2026-05-05,"[{'field': 'estimated_player_wages_eur', 'value_original': 96781400, 'unit_original': 'GBP gross annual base wages', 'page_or_location': 'meta_description', 'evidence_text': 'Estimated Gross Fixed Salaries for the 2015-2016 Season was £96,781,400, or £1,861,181 per week, not including bonuses.'}]",medium,True,"Capology wage estimates are not official figures. Values represent estimated gross fixed player salaries and exclude bonuses. EUR conversion is pending a project-level FX methodology, so the EUR field remains null for now.",arsenal_2015_16_wage_output.json
arsenal,Arsenal,2016/17,,102325000.0,GBP,gross annual base wages,1967788.0,,GBP,full pounds,,,Capology,https://www.capology.com/club/arsenal/salaries/2016-2017/,2026-05-05,"[{'field': 'estimated_player_wages_eur', 'value_original': 102325000, 'unit_original': 'GBP gross annual base wages', 'page_or_location': 'meta_description', 'evidence_text': 'Estimated Gross Fixed Salaries for the 2016-2017 Season was £102,325,000, or £1,967,788 per week, not including bonuses.'}]",medium,True,"Capology wage estimates are not official figures. Values represent estimated gross fixed player salaries and exclude bonuses. EUR conversion is pending a project-level FX methodology, so the EUR field remains null for now.",arsenal_2016_17_wage_output.json
arsenal,Arsenal,2017/18,,,,,,,,,,,Capology,https://www.capology.com/club/arsenal/salaries/2017-2018/,2026-05-05,[],low,True,No structured Capology season salary value was available for 2017/18 at https://www.capology.com/club/arsenal/salaries/2017-2018/. This likely reflects missing historical coverage for that season. EUR conversion is pending a project-level FX methodology.,arsenal_2017_18_wage_output.json
arsenal,Arsenal,2018/19,,,,,,,,,,,Capology,https://www.capology.com/club/arsenal/salaries/2018-2019/,2026-05-05,[],low,True,No structured Capology season salary value was available for 2018/19 at https://www.capology.com/club/arsenal/salaries/2018-2019/. This likely reflects missing historical coverage for that season. EUR conversion is pending a project-level FX methodology.,arsenal_2018_19_wage_output.json
arsenal,Arsenal,2019/20,,,,,,,,,,,Capology,https://www.capology.com/club/arsenal/salaries/2019-2020/,2026-05-05,[],low,True,No structured Capology season salary value was available for 2019/20 at https://www.capology.com/club/arsenal/salaries/2019-2020/. This likely reflects missing historical coverage for that season. EUR conversion is pending a project-level FX methodology.,arsenal_2019_20_wage_output.json
arsenal,Arsenal,2020/21,,,,,,,,,,,Capology,https://www.capology.com/club/arsenal/salaries/2020-2021/,2026-05-05,[],low,True,No structured Capology season salary value was available for 2020/21 at https://www.capology.com/club/arsenal/salaries/2020-2021/. This likely reflects missing historical coverage for that season. EUR conversion is pending a project-level FX methodology.,arsenal_2020_21_wage_output.json
arsenal,Arsenal,2021/22,,,,,,,,,,,Capology,https://www.capology.com/club/arsenal/salaries/2021-2022/,2026-05-05,[],low,True,No structured Capology season salary value was available for 2021/22 at https://www.capology.com/club/arsenal/salaries/2021-2022/. This likely reflects missing historical coverage for that season. EUR conversion is pending a project-level FX methodology.,arsenal_2021_22_wage_output.json
arsenal,Arsenal,2022/23,,,,,,,,,,,Capology,https://www.capology.com/club/arsenal/salaries/2022-2023/,2026-05-05,[],low,True,No structured Capology season salary value was available for 2022/23 at https://www.capology.com/club/arsenal/salaries/2022-2023/. This likely reflects missing historical coverage for that season. EUR conversion is pending a project-level FX methodology.,arsenal_2022_23_wage_output.json
arsenal,Arsenal,2023/24,,171496000.0,GBP,gross annual base wages,3298000.0,,GBP,full pounds,,,Capology,https://www.capology.com/club/arsenal/salaries/2023-2024/,2026-05-05,"[{'field': 'estimated_player_wages_eur', 'value_original': 171496000, 'unit_original': 'GBP gross annual base wages', 'page_or_location': 'meta_description', 'evidence_text': 'Estimated Gross Fixed Salaries for the 2023-2024 Season was £171,496,000, or £3,298,000 per week, not including bonuses.'}]",medium,True,"Capology wage estimates are not official figures. Values represent estimated gross fixed player salaries and exclude bonuses. EUR conversion is pending a project-level FX methodology, so the EUR field remains null for now.",arsenal_2023_24_wage_output.json
arsenal,Arsenal,2024/25,,,,,,,,,,,Capology,https://www.capology.com/club/arsenal/salaries/2024-2025/,2026-05-05,[],low,True,No structured Capology season salary value was available for 2024/25 at https://www.capology.com/club/arsenal/salaries/2024-2025/. This likely reflects missing historical coverage for that season. EUR conversion is pending a project-level FX methodology.,arsenal_2024_25_wage_output.json
chelsea,Chelsea,2011/12,,,,,,,,,,,Capology,https://www.capology.com/club/chelsea/salaries/2011-2012/,2026-05-05,[],low,True,No structured Capology season salary value was available for 2011/12 at https://www.capology.com/club/chelsea/salaries/2011-2012/. This likely reflects missing historical coverage for that season. EUR conversion is pending a project-level FX methodology.,chelsea_2011_12_wage_output.json
chelsea,Chelsea,2012/13,,,,,,,,,,,Capology,https://www.capology.com/club/chelsea/salaries/2012-2013/,2026-05-05,[],low,True,No structured Capology season salary value was available for 2012/13 at https://www.capology.com/club/chelsea/salaries/2012-2013/. This likely reflects missing historical coverage for that season. EUR conversion is pending a project-level FX methodology.,chelsea_2012_13_wage_output.json
chelsea,Chelsea,2013/14,,,,,,,,,,,Capology,https://www.capology.com/club/chelsea/salaries/2013-2014/,2026-05-05,[],low,True,No structured Capology season salary value was available for 2013/14 at https://www.capology.com/club/chelsea/salaries/2013-2014/. This likely reflects missing historical coverage for that season. EUR conversion is pending a project-level FX methodology.,chelsea_2013_14_wage_output.json
chelsea,Chelsea,2014/15,,,,,,,,,,,Capology,https://www.capology.com/club/chelsea/salaries/2014-2015/,2026-05-05,[],low,True,No structured Capology season salary value was available for 2014/15 at https://www.capology.com/club/chelsea/salaries/2014-2015/. This likely reflects missing historical coverage for that season. EUR conversion is pending a project-level FX methodology.,chelsea_2014_15_wage_output.json
chelsea,Chelsea,2015/16,,,,,,,,,,,Capology,https://www.capology.com/club/chelsea/salaries/2015-2016/,2026-05-05,[],low,True,No structured Capology season salary value was available for 2015/16 at https://www.capology.com/club/chelsea/salaries/2015-2016/. This likely reflects missing historical coverage for that season. EUR conversion is pending a project-level FX methodology.,chelsea_2015_16_wage_output.json
chelsea,Chelsea,2016/17,,,,,,,,,,,Capology,https://www.capology.com/club/chelsea/salaries/2016-2017/,2026-05-05,[],low,True,No structured Capology season salary value was available for 2016/17 at https://www.capology.com/club/chelsea/salaries/2016-2017/. This likely reflects missing historical coverage for that season. EUR conversion is pending a project-level FX methodology.,chelsea_2016_17_wage_output.json
chelsea,Chelsea,2017/18,,,,,,,,,,,Capology,https://www.capology.com/club/chelsea/salaries/2017-2018/,2026-05-05,[],low,True,No structured Capology season salary value was available for 2017/18 at https://www.capology.com/club/chelsea/salaries/2017-2018/. This likely reflects missing historical coverage for that season. EUR conversion is pending a project-level FX methodology.,chelsea_2017_18_wage_output.json
chelsea,Chelsea,2018/19,,,,,,,,,,,Capology,https://www.capology.com/club/chelsea/salaries/2018-2019/,2026-05-05,[],low,True,No structured Capology season salary value was available for 2018/19 at https://www.capology.com/club/chelsea/salaries/2018-2019/. This likely reflects missing historical coverage for that season. EUR conversion is pending a project-level FX methodology.,chelsea_2018_19_wage_output.json
chelsea,Chelsea,2019/20,,,,,,,,,,,Capology,https://www.capology.com/club/chelsea/salaries/2019-2020/,2026-05-05,[],low,True,No structured Capology season salary value was available for 2019/20 at https://www.capology.com/club/chelsea/salaries/2019-2020/. This likely reflects missing historical coverage for that season. EUR conversion is pending a project-level FX methodology.,chelsea_2019_20_wage_output.json
chelsea,Chelsea,2020/21,,,,,,,,,,,Capology,https://www.capology.com/club/chelsea/salaries/2020-2021/,2026-05-05,[],low,True,No structured Capology season salary value was available for 2020/21 at https://www.capology.com/club/chelsea/salaries/2020-2021/. This likely reflects missing historical coverage for that season. EUR conversion is pending a project-level FX methodology.,chelsea_2020_21_wage_output.json
chelsea,Chelsea,2021/22,,,,,,,,,,,Capology,https://www.capology.com/club/chelsea/salaries/2021-2022/,2026-05-05,[],low,True,No structured Capology season salary value was available for 2021/22 at https://www.capology.com/club/chelsea/salaries/2021-2022/. This likely reflects missing historical coverage for that season. EUR conversion is pending a project-level FX methodology.,chelsea_2021_22_wage_output.json
chelsea,Chelsea,2022/23,,,,,,,,,,,Capology,https://www.capology.com/club/chelsea/salaries/2022-2023/,2026-05-05,[],low,True,No structured Capology season salary value was available for 2022/23 at https://www.capology.com/club/chelsea/salaries/2022-2023/. This likely reflects missing historical coverage for that season. EUR conversion is pending a project-level FX methodology.,chelsea_2022_23_wage_output.json
chelsea,Chelsea,2023/24,,,,,,,,,,,Capology,https://www.capology.com/club/chelsea/salaries/2023-2024/,2026-05-05,[],low,True,No structured Capology season salary value was available for 2023/24 at https://www.capology.com/club/chelsea/salaries/2023-2024/. This likely reflects missing historical coverage for that season. EUR conversion is pending a project-level FX methodology.,chelsea_2023_24_wage_output.json
chelsea,Chelsea,2024/25,,,,,,,,,,,Capology,https://www.capology.com/club/chelsea/salaries/2024-2025/,2026-05-05,[],low,True,No structured Capology season salary value was available for 2024/25 at https://www.capology.com/club/chelsea/salaries/2024-2025/. This likely reflects missing historical coverage for that season. EUR conversion is pending a project-level FX methodology.,chelsea_2024_25_wage_output.json
liverpool,Liverpool,2011/12,,,,,,,,,,,Capology,https://www.capology.com/club/liverpool/salaries/2011-2012/,2026-05-05,[],low,True,No structured Capology season salary value was available for 2011/12 at https://www.capology.com/club/liverpool/salaries/2011-2012/. This likely reflects missing historical coverage for that season. EUR conversion is pending a project-level FX methodology.,liverpool_2011_12_wage_output.json
liverpool,Liverpool,2012/13,,,,,,,,,,,Capology,https://www.capology.com/club/liverpool/salaries/2012-2013/,2026-05-05,[],low,True,No structured Capology season salary value was available for 2012/13 at https://www.capology.com/club/liverpool/salaries/2012-2013/. This likely reflects missing historical coverage for that season. EUR conversion is pending a project-level FX methodology.,liverpool_2012_13_wage_output.json
