season,Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation,points_deduction,source_url
,1,Real Madrid (C),38,26,8,4,80,31,+49,86,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2021%E2%80%9322_La_Liga
,2,Barcelona,38,21,10,7,68,38,+30,73,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2021%E2%80%9322_La_Liga
,3,Atlético Madrid,38,21,8,9,65,43,+22,71,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2021%E2%80%9322_La_Liga
,4,Sevilla,38,18,16,4,53,30,+23,70,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2021%E2%80%9322_La_Liga
,5,Real Betis,38,19,8,11,62,40,+22,65,Qualification for the Europa League group stage,0,https://en.wikipedia.org/wiki/2021%E2%80%9322_La_Liga
,6,Real Sociedad,38,17,11,10,40,37,+3,62,Qualification for the Europa League group stage,0,https://en.wikipedia.org/wiki/2021%E2%80%9322_La_Liga
,7,Villarreal,38,16,11,11,63,37,+26,59,Qualification for the Europa Conference League play-off round,0,https://en.wikipedia.org/wiki/2021%E2%80%9322_La_Liga
,8,Athletic Bilbao,38,14,13,11,43,36,+7,55,,0,https://en.wikipedia.org/wiki/2021%E2%80%9322_La_Liga
,9,Valencia,38,11,15,12,48,53,-5,48,,0,https://en.wikipedia.org/wiki/2021%E2%80%9322_La_Liga
,10,Osasuna,38,12,11,15,37,51,-14,47,,0,https://en.wikipedia.org/wiki/2021%E2%80%9322_La_Liga
,11,Celta Vigo,38,12,10,16,43,43,0,46,,0,https://en.wikipedia.org/wiki/2021%E2%80%9322_La_Liga
,12,Rayo Vallecano,38,11,9,18,39,50,-11,42,,0,https://en.wikipedia.org/wiki/2021%E2%80%9322_La_Liga
,13,Elche,38,11,9,18,40,52,-12,42,,0,https://en.wikipedia.org/wiki/2021%E2%80%9322_La_Liga
,14,Espanyol,38,10,12,16,40,53,-13,42,,0,https://en.wikipedia.org/wiki/2021%E2%80%9322_La_Liga
,15,Getafe,38,8,15,15,33,41,-8,39,,0,https://en.wikipedia.org/wiki/2021%E2%80%9322_La_Liga
,16,Mallorca,38,10,9,19,36,63,-27,39,,0,https://en.wikipedia.org/wiki/2021%E2%80%9322_La_Liga
,17,Cádiz,38,8,15,15,35,51,-16,39,,0,https://en.wikipedia.org/wiki/2021%E2%80%9322_La_Liga
,18,Granada (R),38,8,14,16,44,61,-17,38,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2021%E2%80%9322_La_Liga
,19,Levante (R),38,8,11,19,51,76,-25,35,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2021%E2%80%9322_La_Liga
,20,Alavés (R),38,8,7,23,31,65,-34,31,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2021%E2%80%9322_La_Liga
