season,Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation,points_deduction,source_url
,1,Barcelona (C),38,28,4,6,102,39,+63,88,Qualification for the Champions League league stage,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_La_Liga
,2,Real Madrid,38,26,6,6,78,38,+40,84,Qualification for the Champions League league stage,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_La_Liga
,3,Atlético Madrid,38,22,10,6,68,30,+38,76,Qualification for the Champions League league stage,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_La_Liga
,4,Athletic Bilbao,38,19,13,6,54,29,+25,70,Qualification for the Champions League league stage,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_La_Liga
,5,Villarreal,38,20,10,8,71,51,+20,70,Qualification for the Champions League league stage,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_La_Liga
,6,Real Betis,38,16,12,10,57,50,+7,60,Qualification for the Europa League league stage,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_La_Liga
,7,Celta Vigo,38,16,7,15,59,57,+2,55,Qualification for the Europa League league stage,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_La_Liga
,8,Rayo Vallecano,38,13,13,12,41,45,-4,52,Qualification for the Conference League play-off round,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_La_Liga
,9,Osasuna,38,12,16,10,48,52,-4,52,,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_La_Liga
,10,Mallorca,38,13,9,16,35,44,-9,48,,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_La_Liga
,11,Real Sociedad,38,13,7,18,35,46,-11,46,,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_La_Liga
,12,Valencia,38,11,13,14,44,54,-10,46,,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_La_Liga
,13,Getafe,38,11,9,18,34,39,-5,42,,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_La_Liga
,14,Espanyol,38,11,9,18,40,51,-11,42,,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_La_Liga
,15,Alavés,38,10,12,16,38,48,-10,42,,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_La_Liga
,16,Girona,38,11,8,19,44,60,-16,41,,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_La_Liga
,17,Sevilla,38,10,11,17,42,55,-13,41,,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_La_Liga
,18,Leganés (R),38,9,13,16,39,56,-17,40,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_La_Liga
,19,Las Palmas (R),38,8,8,22,40,61,-21,32,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_La_Liga
,20,Valladolid (R),38,4,4,30,26,90,-64,16,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_La_Liga
