season,Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation,points_deduction,source_url
,1,Barcelona (C),38,28,4,6,70,20,+50,88,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2022%E2%80%9323_La_Liga
,2,Real Madrid,38,24,6,8,75,36,+39,78,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2022%E2%80%9323_La_Liga
,3,Atlético Madrid,38,23,8,7,70,33,+37,77,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2022%E2%80%9323_La_Liga
,4,Real Sociedad,38,21,8,9,51,35,+16,71,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2022%E2%80%9323_La_Liga
,5,Villarreal,38,19,7,12,59,40,+19,64,Qualification for the Europa League group stage,0,https://en.wikipedia.org/wiki/2022%E2%80%9323_La_Liga
,6,Real Betis,38,17,9,12,46,41,+5,60,Qualification for the Europa League group stage,0,https://en.wikipedia.org/wiki/2022%E2%80%9323_La_Liga
,7,Osasuna,38,15,8,15,37,42,-5,53,Qualification for the Europa Conference League play-off round,0,https://en.wikipedia.org/wiki/2022%E2%80%9323_La_Liga
,8,Athletic Bilbao,38,14,9,15,47,43,+4,51,,0,https://en.wikipedia.org/wiki/2022%E2%80%9323_La_Liga
,9,Mallorca,38,14,8,16,37,43,-6,50,,0,https://en.wikipedia.org/wiki/2022%E2%80%9323_La_Liga
,10,Girona,38,13,10,15,58,55,+3,49,,0,https://en.wikipedia.org/wiki/2022%E2%80%9323_La_Liga
,11,Rayo Vallecano,38,13,10,15,45,53,-8,49,,0,https://en.wikipedia.org/wiki/2022%E2%80%9323_La_Liga
,12,Sevilla,38,13,10,15,47,54,-7,49,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2022%E2%80%9323_La_Liga
,13,Celta Vigo,38,11,10,17,43,53,-10,43,,0,https://en.wikipedia.org/wiki/2022%E2%80%9323_La_Liga
,14,Cádiz,38,10,12,16,30,53,-23,42,,0,https://en.wikipedia.org/wiki/2022%E2%80%9323_La_Liga
,15,Getafe,38,10,12,16,34,45,-11,42,,0,https://en.wikipedia.org/wiki/2022%E2%80%9323_La_Liga
,16,Valencia,38,11,9,18,42,45,-3,42,,0,https://en.wikipedia.org/wiki/2022%E2%80%9323_La_Liga
,17,Almería,38,11,8,19,49,65,-16,41,,0,https://en.wikipedia.org/wiki/2022%E2%80%9323_La_Liga
,18,Valladolid (R),38,11,7,20,33,63,-30,40,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2022%E2%80%9323_La_Liga
,19,Espanyol (R),38,8,13,17,52,69,-17,37,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2022%E2%80%9323_La_Liga
,20,Elche (R),38,5,10,23,30,67,-37,25,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2022%E2%80%9323_La_Liga
