season,Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation,points_deduction,source_url
,1,Barcelona (C),38,29,4,5,112,29,+83,91,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2015%E2%80%9316_La_Liga
,2,Real Madrid,38,28,6,4,110,34,+76,90,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2015%E2%80%9316_La_Liga
,3,Atlético Madrid,38,28,4,6,63,18,+45,88,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2015%E2%80%9316_La_Liga
,4,Villarreal,38,18,10,10,44,35,+9,64,Qualification for the Champions League play-off round,0,https://en.wikipedia.org/wiki/2015%E2%80%9316_La_Liga
,5,Athletic Bilbao,38,18,8,12,58,45,+13,62,Qualification for the Europa League group stage,0,https://en.wikipedia.org/wiki/2015%E2%80%9316_La_Liga
,6,Celta Vigo,38,17,9,12,51,59,-8,60,Qualification for the Europa League group stage,0,https://en.wikipedia.org/wiki/2015%E2%80%9316_La_Liga
,7,Sevilla,38,14,10,14,51,50,+1,52,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2015%E2%80%9316_La_Liga
,8,Málaga,38,12,12,14,38,35,+3,48,,0,https://en.wikipedia.org/wiki/2015%E2%80%9316_La_Liga
,9,Real Sociedad,38,13,9,16,45,48,-3,48,,0,https://en.wikipedia.org/wiki/2015%E2%80%9316_La_Liga
,10,Real Betis,38,11,12,15,34,52,-18,45,,0,https://en.wikipedia.org/wiki/2015%E2%80%9316_La_Liga
,11,Las Palmas,38,12,8,18,45,53,-8,44,,0,https://en.wikipedia.org/wiki/2015%E2%80%9316_La_Liga
,12,Valencia,38,11,11,16,46,48,-2,44,,0,https://en.wikipedia.org/wiki/2015%E2%80%9316_La_Liga
,13,Espanyol,38,12,7,19,40,74,-34,43,,0,https://en.wikipedia.org/wiki/2015%E2%80%9316_La_Liga
,14,Eibar,38,11,10,17,49,61,-12,43,,0,https://en.wikipedia.org/wiki/2015%E2%80%9316_La_Liga
,15,Deportivo La Coruña,38,8,18,12,45,61,-16,42,,0,https://en.wikipedia.org/wiki/2015%E2%80%9316_La_Liga
,16,Granada,38,10,9,19,46,69,-23,39,,0,https://en.wikipedia.org/wiki/2015%E2%80%9316_La_Liga
,17,Sporting Gijón,38,10,9,19,40,62,-22,39,,0,https://en.wikipedia.org/wiki/2015%E2%80%9316_La_Liga
,18,Rayo Vallecano (R),38,9,11,18,52,73,-21,38,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2015%E2%80%9316_La_Liga
,19,Getafe (R),38,9,9,20,37,67,-30,36,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2015%E2%80%9316_La_Liga
,20,Levante (R),38,8,8,22,37,70,-33,32,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2015%E2%80%9316_La_Liga
