season,Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation,points_deduction,source_url
,1,Atlético Madrid (C),38,26,8,4,67,25,+42,86,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2020%E2%80%9321_La_Liga
,2,Real Madrid,38,25,9,4,67,28,+39,84,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2020%E2%80%9321_La_Liga
,3,Barcelona,38,24,7,7,85,38,+47,79,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2020%E2%80%9321_La_Liga
,4,Sevilla,38,24,5,9,53,33,+20,77,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2020%E2%80%9321_La_Liga
,5,Real Sociedad,38,17,11,10,59,38,+21,62,Qualification for the Europa League group stage,0,https://en.wikipedia.org/wiki/2020%E2%80%9321_La_Liga
,6,Real Betis,38,17,10,11,50,50,0,61,Qualification for the Europa League group stage,0,https://en.wikipedia.org/wiki/2020%E2%80%9321_La_Liga
,7,Villarreal,38,15,13,10,60,44,+16,58,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2020%E2%80%9321_La_Liga
,8,Celta Vigo,38,14,11,13,55,57,-2,53,,0,https://en.wikipedia.org/wiki/2020%E2%80%9321_La_Liga
,9,Granada,38,13,7,18,47,65,-18,46,,0,https://en.wikipedia.org/wiki/2020%E2%80%9321_La_Liga
,10,Athletic Bilbao,38,11,13,14,46,42,+4,46,,0,https://en.wikipedia.org/wiki/2020%E2%80%9321_La_Liga
,11,Osasuna,38,11,11,16,37,48,-11,44,,0,https://en.wikipedia.org/wiki/2020%E2%80%9321_La_Liga
,12,Cádiz,38,11,11,16,36,58,-22,44,,0,https://en.wikipedia.org/wiki/2020%E2%80%9321_La_Liga
,13,Valencia,38,10,13,15,50,53,-3,43,,0,https://en.wikipedia.org/wiki/2020%E2%80%9321_La_Liga
,14,Levante,38,9,14,15,46,57,-11,41,,0,https://en.wikipedia.org/wiki/2020%E2%80%9321_La_Liga
,15,Getafe,38,9,11,18,28,43,-15,38,,0,https://en.wikipedia.org/wiki/2020%E2%80%9321_La_Liga
,16,Alavés,38,9,11,18,36,57,-21,38,,0,https://en.wikipedia.org/wiki/2020%E2%80%9321_La_Liga
,17,Elche,38,8,12,18,34,55,-21,36,,0,https://en.wikipedia.org/wiki/2020%E2%80%9321_La_Liga
,18,Huesca (R),38,7,13,18,34,53,-19,34,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2020%E2%80%9321_La_Liga
,19,Valladolid (R),38,5,16,17,34,57,-23,31,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2020%E2%80%9321_La_Liga
,20,Eibar (R),38,6,12,20,29,52,-23,30,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2020%E2%80%9321_La_Liga
