season,Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation,points_deduction,source_url
,1,Barcelona (Q),33,28,1,4,87,30,+57,85,Qualification for the Champions League league phase,0,https://en.wikipedia.org/wiki/2025%E2%80%9326_La_Liga
,2,Real Madrid (Q),33,23,5,5,68,31,+37,74,Qualification for the Champions League league phase,0,https://en.wikipedia.org/wiki/2025%E2%80%9326_La_Liga
,3,Villarreal (X),33,20,5,8,59,38,+21,65,Qualification for the Champions League league phase,0,https://en.wikipedia.org/wiki/2025%E2%80%9326_La_Liga
,4,Atlético Madrid (X),33,18,6,9,56,37,+19,60,Qualification for the Champions League league phase,0,https://en.wikipedia.org/wiki/2025%E2%80%9326_La_Liga
,5,Real Betis,33,12,14,7,49,41,+8,50,Qualification for the Europa League league phase,0,https://en.wikipedia.org/wiki/2025%E2%80%9326_La_Liga
,6,Getafe,33,13,5,15,28,34,-6,44,Qualification for the Conference League play-off round,0,https://en.wikipedia.org/wiki/2025%E2%80%9326_La_Liga
,7,Celta Vigo,33,11,11,11,45,43,+2,44,,0,https://en.wikipedia.org/wiki/2025%E2%80%9326_La_Liga
,8,Real Sociedad (X),33,11,10,12,52,52,0,43,Qualification for the Europa League league phase,0,https://en.wikipedia.org/wiki/2025%E2%80%9326_La_Liga
,9,Osasuna,33,11,9,13,39,40,-1,42,,0,https://en.wikipedia.org/wiki/2025%E2%80%9326_La_Liga
,10,Athletic Bilbao,33,12,5,16,36,48,-12,41,,0,https://en.wikipedia.org/wiki/2025%E2%80%9326_La_Liga
,11,Valencia,33,10,9,14,37,48,-11,39,,0,https://en.wikipedia.org/wiki/2025%E2%80%9326_La_Liga
,12,Rayo Vallecano,33,9,12,12,33,41,-8,39,,0,https://en.wikipedia.org/wiki/2025%E2%80%9326_La_Liga
,13,Espanyol,33,10,9,14,37,49,-12,39,,0,https://en.wikipedia.org/wiki/2025%E2%80%9326_La_Liga
,14,Elche,33,9,11,13,44,50,-6,38,,0,https://en.wikipedia.org/wiki/2025%E2%80%9326_La_Liga
,15,Girona,33,9,11,13,36,50,-14,38,,0,https://en.wikipedia.org/wiki/2025%E2%80%9326_La_Liga
,16,Alavés,33,9,9,15,38,49,-11,36,,0,https://en.wikipedia.org/wiki/2025%E2%80%9326_La_Liga
,17,Mallorca,33,9,8,16,41,51,-10,35,,0,https://en.wikipedia.org/wiki/2025%E2%80%9326_La_Liga
,18,Sevilla,33,9,7,17,40,55,-15,34,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2025%E2%80%9326_La_Liga
,19,Levante,33,8,9,16,37,50,-13,33,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2025%E2%80%9326_La_Liga
,20,Real Oviedo,33,6,10,17,26,51,-25,28,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2025%E2%80%9326_La_Liga
