season,Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation,points_deduction,source_url
,1,Real Madrid (C),38,29,8,1,87,26,+61,95,Qualification for the Champions League league phase,0,https://en.wikipedia.org/wiki/2023%E2%80%9324_La_Liga
,2,Barcelona,38,26,7,5,79,44,+35,85,Qualification for the Champions League league phase,0,https://en.wikipedia.org/wiki/2023%E2%80%9324_La_Liga
,3,Girona,38,25,6,7,85,46,+39,81,Qualification for the Champions League league phase,0,https://en.wikipedia.org/wiki/2023%E2%80%9324_La_Liga
,4,Atlético Madrid,38,24,4,10,70,43,+27,76,Qualification for the Champions League league phase,0,https://en.wikipedia.org/wiki/2023%E2%80%9324_La_Liga
,5,Athletic Bilbao,38,19,11,8,61,37,+24,68,Qualification for the Europa League league phase,0,https://en.wikipedia.org/wiki/2023%E2%80%9324_La_Liga
,6,Real Sociedad,38,16,12,10,51,39,+12,60,Qualification for the Europa League league phase,0,https://en.wikipedia.org/wiki/2023%E2%80%9324_La_Liga
,7,Real Betis,38,14,15,9,48,45,+3,57,Qualification for the Conference League play-off round,0,https://en.wikipedia.org/wiki/2023%E2%80%9324_La_Liga
,8,Villarreal,38,14,11,13,65,65,0,53,,0,https://en.wikipedia.org/wiki/2023%E2%80%9324_La_Liga
,9,Valencia,38,13,10,15,40,45,-5,49,,0,https://en.wikipedia.org/wiki/2023%E2%80%9324_La_Liga
,10,Alavés,38,12,10,16,36,46,-10,46,,0,https://en.wikipedia.org/wiki/2023%E2%80%9324_La_Liga
,11,Osasuna,38,12,9,17,45,56,-11,45,,0,https://en.wikipedia.org/wiki/2023%E2%80%9324_La_Liga
,12,Getafe,38,10,13,15,42,54,-12,43,,0,https://en.wikipedia.org/wiki/2023%E2%80%9324_La_Liga
,13,Celta Vigo,38,10,11,17,46,57,-11,41,,0,https://en.wikipedia.org/wiki/2023%E2%80%9324_La_Liga
,14,Sevilla,38,10,11,17,48,54,-6,41,,0,https://en.wikipedia.org/wiki/2023%E2%80%9324_La_Liga
,15,Mallorca,38,8,16,14,33,44,-11,40,,0,https://en.wikipedia.org/wiki/2023%E2%80%9324_La_Liga
,16,Las Palmas,38,10,10,18,33,47,-14,40,,0,https://en.wikipedia.org/wiki/2023%E2%80%9324_La_Liga
,17,Rayo Vallecano,38,8,14,16,29,48,-19,38,,0,https://en.wikipedia.org/wiki/2023%E2%80%9324_La_Liga
,18,Cádiz (R),38,6,15,17,26,55,-29,33,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2023%E2%80%9324_La_Liga
,19,Almería (R),38,3,12,23,43,75,-32,21,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2023%E2%80%9324_La_Liga
,20,Granada (R),38,4,9,25,38,79,-41,21,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2023%E2%80%9324_La_Liga
