season,Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation,points_deduction,source_url
,1,Barcelona (C),38,30,6,2,95,21,+74,96,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2010%E2%80%9311_La_Liga
,2,Real Madrid,38,29,5,4,102,33,+69,92,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2010%E2%80%9311_La_Liga
,3,Valencia,38,21,8,9,64,44,+20,71,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2010%E2%80%9311_La_Liga
,4,Villarreal,38,18,8,12,54,44,+10,62,Qualification for the Champions League play-off round,0,https://en.wikipedia.org/wiki/2010%E2%80%9311_La_Liga
,5,Sevilla,38,17,7,14,62,61,+1,58,Qualification for the Europa League play-off round,0,https://en.wikipedia.org/wiki/2010%E2%80%9311_La_Liga
,6,Athletic Bilbao,38,18,4,16,59,55,+4,58,Qualification for the Europa League play-off round,0,https://en.wikipedia.org/wiki/2010%E2%80%9311_La_Liga
,7,Atlético Madrid,38,17,7,14,62,53,+9,58,Qualification for the Europa League third qualifying round,0,https://en.wikipedia.org/wiki/2010%E2%80%9311_La_Liga
,8,Espanyol,38,15,4,19,46,55,-9,49,,0,https://en.wikipedia.org/wiki/2010%E2%80%9311_La_Liga
,9,Osasuna,38,13,8,17,45,46,-1,47,,0,https://en.wikipedia.org/wiki/2010%E2%80%9311_La_Liga
,10,Sporting Gijón,38,11,14,13,35,42,-7,47,,0,https://en.wikipedia.org/wiki/2010%E2%80%9311_La_Liga
,11,Málaga,38,13,7,18,54,68,-14,46,,0,https://en.wikipedia.org/wiki/2010%E2%80%9311_La_Liga
,12,Racing Santander,38,12,10,16,41,56,-15,46,,0,https://en.wikipedia.org/wiki/2010%E2%80%9311_La_Liga
,13,Zaragoza,38,12,9,17,40,53,-13,45,,0,https://en.wikipedia.org/wiki/2010%E2%80%9311_La_Liga
,14,Levante,38,12,9,17,41,52,-11,45,,0,https://en.wikipedia.org/wiki/2010%E2%80%9311_La_Liga
,15,Real Sociedad,38,14,3,21,49,66,-17,45,,0,https://en.wikipedia.org/wiki/2010%E2%80%9311_La_Liga
,16,Getafe,38,12,8,18,49,60,-11,44,,0,https://en.wikipedia.org/wiki/2010%E2%80%9311_La_Liga
,17,Mallorca,38,12,8,18,41,56,-15,44,,0,https://en.wikipedia.org/wiki/2010%E2%80%9311_La_Liga
,18,Deportivo La Coruña (R),38,10,13,15,31,47,-16,43,Relegation to the Segunda División,0,https://en.wikipedia.org/wiki/2010%E2%80%9311_La_Liga
,19,Hércules (R),38,9,8,21,36,60,-24,35,Relegation to the Segunda División,0,https://en.wikipedia.org/wiki/2010%E2%80%9311_La_Liga
,20,Almería (R),38,6,12,20,36,70,-34,30,Relegation to the Segunda División,0,https://en.wikipedia.org/wiki/2010%E2%80%9311_La_Liga
