season,Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation,points_deduction,source_url
,1,Real Madrid (C),38,29,6,3,106,41,+65,93,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_La_Liga
,2,Barcelona,38,28,6,4,116,37,+79,90,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_La_Liga
,3,Atlético Madrid,38,23,9,6,70,27,+43,78,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_La_Liga
,4,Sevilla,38,21,9,8,69,49,+20,72,Qualification for the Champions League play-off round,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_La_Liga
,5,Villarreal,38,19,10,9,56,33,+23,67,Qualification for the Europa League group stage,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_La_Liga
,6,Real Sociedad,38,19,7,12,59,53,+6,64,Qualification for the Europa League group stage,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_La_Liga
,7,Athletic Bilbao,38,19,6,13,53,43,+10,63,Qualification for the Europa League third qualifying round,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_La_Liga
,8,Espanyol,38,15,11,12,49,50,-1,56,,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_La_Liga
,9,Alavés,38,14,13,11,41,43,-2,55,,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_La_Liga
,10,Eibar,38,15,9,14,56,51,+5,54,,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_La_Liga
,11,Málaga,38,12,10,16,49,55,-6,46,,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_La_Liga
,12,Valencia,38,13,7,18,56,65,-9,46,,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_La_Liga
,13,Celta Vigo,38,13,6,19,53,69,-16,45,,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_La_Liga
,14,Las Palmas,38,10,9,19,53,74,-21,39,,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_La_Liga
,15,Real Betis,38,10,9,19,41,64,-23,39,,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_La_Liga
,16,Deportivo La Coruña,38,8,12,18,43,61,-18,36,,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_La_Liga
,17,Leganés,38,8,11,19,36,55,-19,35,,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_La_Liga
,18,Sporting Gijón (R),38,7,10,21,42,72,-30,31,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_La_Liga
,19,Osasuna (R),38,4,10,24,40,94,-54,22,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_La_Liga
,20,Granada (R),38,4,8,26,30,82,-52,20,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_La_Liga
