season,Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation,points_deduction,source_url
,1,Real Madrid (C),38,26,9,3,70,25,+45,87,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2019%E2%80%9320_La_Liga
,2,Barcelona,38,25,7,6,86,38,+48,82,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2019%E2%80%9320_La_Liga
,3,Atlético Madrid,38,18,16,4,51,27,+24,70,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2019%E2%80%9320_La_Liga
,4,Sevilla,38,19,13,6,54,34,+20,70,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2019%E2%80%9320_La_Liga
,5,Villarreal,38,18,6,14,63,49,+14,60,Qualification for the Europa League group stage,0,https://en.wikipedia.org/wiki/2019%E2%80%9320_La_Liga
,6,Real Sociedad,38,16,8,14,56,48,+8,56,Qualification for the Europa League group stage,0,https://en.wikipedia.org/wiki/2019%E2%80%9320_La_Liga
,7,Granada,38,16,8,14,52,45,+7,56,Qualification for the Europa League second qualifying round,0,https://en.wikipedia.org/wiki/2019%E2%80%9320_La_Liga
,8,Getafe,38,14,12,12,43,37,+6,54,,0,https://en.wikipedia.org/wiki/2019%E2%80%9320_La_Liga
,9,Valencia,38,14,11,13,46,53,-7,53,,0,https://en.wikipedia.org/wiki/2019%E2%80%9320_La_Liga
,10,Osasuna,38,13,13,12,46,54,-8,52,,0,https://en.wikipedia.org/wiki/2019%E2%80%9320_La_Liga
,11,Athletic Bilbao,38,13,12,13,41,38,+3,51,,0,https://en.wikipedia.org/wiki/2019%E2%80%9320_La_Liga
,12,Levante,38,14,7,17,47,53,-6,49,,0,https://en.wikipedia.org/wiki/2019%E2%80%9320_La_Liga
,13,Valladolid,38,9,15,14,32,43,-11,42,,0,https://en.wikipedia.org/wiki/2019%E2%80%9320_La_Liga
,14,Eibar,38,11,9,18,39,56,-17,42,,0,https://en.wikipedia.org/wiki/2019%E2%80%9320_La_Liga
,15,Real Betis,38,10,11,17,48,60,-12,41,,0,https://en.wikipedia.org/wiki/2019%E2%80%9320_La_Liga
,16,Alavés,38,10,9,19,34,59,-25,39,,0,https://en.wikipedia.org/wiki/2019%E2%80%9320_La_Liga
,17,Celta Vigo,38,7,16,15,37,49,-12,37,,0,https://en.wikipedia.org/wiki/2019%E2%80%9320_La_Liga
,18,Leganés (R),38,8,12,18,30,51,-21,36,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2019%E2%80%9320_La_Liga
,19,Mallorca (R),38,9,6,23,40,65,-25,33,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2019%E2%80%9320_La_Liga
,20,Espanyol (R),38,5,10,23,27,58,-31,25,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2019%E2%80%9320_La_Liga
