season,Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation,source_url
2025/26,1,"Bayern Munich (C, Q)",31,26,4,1,113,32,+81,82,Qualification for the Champions League league phase,https://en.wikipedia.org/wiki/2025%E2%80%9326_Bundesliga
2025/26,2,Borussia Dortmund (Q),31,20,7,4,65,31,+34,67,,https://en.wikipedia.org/wiki/2025%E2%80%9326_Bundesliga
2025/26,3,RB Leipzig (X),31,19,5,7,62,38,+24,62,,https://en.wikipedia.org/wiki/2025%E2%80%9326_Bundesliga
2025/26,4,VfB Stuttgart (X),31,17,6,8,63,43,+20,57,,https://en.wikipedia.org/wiki/2025%E2%80%9326_Bundesliga
2025/26,5,TSG Hoffenheim (X),31,17,6,8,61,45,+16,57,Qualification for the Europa League league phase[a],https://en.wikipedia.org/wiki/2025%E2%80%9326_Bundesliga
2025/26,6,Bayer Leverkusen (X),31,16,7,8,62,42,+20,55,,https://en.wikipedia.org/wiki/2025%E2%80%9326_Bundesliga
2025/26,7,Eintracht Frankfurt,31,11,10,10,56,58,-2,43,Qualification for the Conference League play-off round,https://en.wikipedia.org/wiki/2025%E2%80%9326_Bundesliga
2025/26,8,SC Freiburg,31,12,7,12,44,52,-8,43,,https://en.wikipedia.org/wiki/2025%E2%80%9326_Bundesliga
2025/26,9,FC Augsburg,31,10,7,14,39,55,-16,37,,https://en.wikipedia.org/wiki/2025%E2%80%9326_Bundesliga
2025/26,10,Mainz 05,31,8,10,13,39,49,-10,34,,https://en.wikipedia.org/wiki/2025%E2%80%9326_Bundesliga
2025/26,11,Borussia Mönchengladbach,31,7,11,13,36,50,-14,32,,https://en.wikipedia.org/wiki/2025%E2%80%9326_Bundesliga
2025/26,12,Werder Bremen,31,8,8,15,36,54,-18,32,,https://en.wikipedia.org/wiki/2025%E2%80%9326_Bundesliga
2025/26,13,Union Berlin,31,8,8,15,35,55,-20,32,,https://en.wikipedia.org/wiki/2025%E2%80%9326_Bundesliga
2025/26,14,1. FC Köln,31,7,10,14,45,53,-8,31,,https://en.wikipedia.org/wiki/2025%E2%80%9326_Bundesliga
2025/26,15,Hamburger SV,31,7,10,14,34,50,-16,31,,https://en.wikipedia.org/wiki/2025%E2%80%9326_Bundesliga
2025/26,16,FC St. Pauli,31,6,8,17,26,53,-27,26,Qualification for the relegation play-offs,https://en.wikipedia.org/wiki/2025%E2%80%9326_Bundesliga
2025/26,17,VfL Wolfsburg,31,6,7,18,41,66,-25,25,Relegation to 2. Bundesliga,https://en.wikipedia.org/wiki/2025%E2%80%9326_Bundesliga
2025/26,18,1. FC Heidenheim,31,5,7,19,35,66,-31,22,,https://en.wikipedia.org/wiki/2025%E2%80%9326_Bundesliga
