season,Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation,source_url
2021/22,1,Bayern Munich (C),34,24,5,5,97,37,+60,77,Qualification for the Champions League group stage,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bundesliga
2021/22,2,Borussia Dortmund,34,22,3,9,85,52,+33,69,,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bundesliga
2021/22,3,Bayer Leverkusen,34,19,7,8,80,47,+33,64,,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bundesliga
2021/22,4,RB Leipzig,34,17,7,10,72,37,+35,58,,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bundesliga
2021/22,5,Union Berlin,34,16,9,9,50,44,+6,57,Qualification for the Europa League group stage,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bundesliga
2021/22,6,SC Freiburg,34,15,10,9,58,46,+12,55,,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bundesliga
2021/22,7,1. FC Köln,34,14,10,10,52,49,+3,52,Qualification for the Europa Conference League play-off round,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bundesliga
2021/22,8,Mainz 05,34,13,7,14,50,45,+5,46,,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bundesliga
2021/22,9,1899 Hoffenheim,34,13,7,14,58,60,-2,46,,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bundesliga
2021/22,10,Borussia Mönchengladbach,34,12,9,13,54,61,-7,45,,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bundesliga
2021/22,11,Eintracht Frankfurt,34,10,12,12,45,49,-4,42,Qualification for the Champions League group stage,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bundesliga
2021/22,12,VfL Wolfsburg,34,12,6,16,43,54,-11,42,,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bundesliga
2021/22,13,VfL Bochum,34,12,6,16,38,52,-14,42,,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bundesliga
2021/22,14,FC Augsburg,34,10,8,16,39,56,-17,38,,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bundesliga
2021/22,15,VfB Stuttgart,34,7,12,15,41,59,-18,33,,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bundesliga
2021/22,16,Hertha BSC (O),34,9,6,19,37,71,-34,33,Qualification for the relegation play-offs,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bundesliga
2021/22,17,Arminia Bielefeld (R),34,5,13,16,27,53,-26,28,Relegation to 2. Bundesliga,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bundesliga
2021/22,18,Greuther Fürth (R),34,3,9,22,28,82,-54,18,,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bundesliga
