season,Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation,source_url
2012/13,1,Bayern Munich (C),34,29,4,1,98,18,+80,91,Qualification for the Champions League group stage,https://en.wikipedia.org/wiki/2012%E2%80%9313_Bundesliga
2012/13,2,Borussia Dortmund,34,19,9,6,81,42,+39,66,,https://en.wikipedia.org/wiki/2012%E2%80%9313_Bundesliga
2012/13,3,Bayer Leverkusen,34,19,8,7,65,39,+26,65,,https://en.wikipedia.org/wiki/2012%E2%80%9313_Bundesliga
2012/13,4,Schalke 04,34,16,7,11,58,50,+8,55,Qualification for the Champions League play-off round,https://en.wikipedia.org/wiki/2012%E2%80%9313_Bundesliga
2012/13,5,SC Freiburg,34,14,9,11,45,40,+5,51,Qualification for the Europa League group stage,https://en.wikipedia.org/wiki/2012%E2%80%9313_Bundesliga
2012/13,6,Eintracht Frankfurt,34,14,9,11,49,46,+3,51,Qualification for the Europa League play-off round,https://en.wikipedia.org/wiki/2012%E2%80%9313_Bundesliga
2012/13,7,Hamburger SV,34,14,6,14,42,53,-11,48,,https://en.wikipedia.org/wiki/2012%E2%80%9313_Bundesliga
2012/13,8,Borussia Mönchengladbach,34,12,11,11,45,49,-4,47,,https://en.wikipedia.org/wiki/2012%E2%80%9313_Bundesliga
2012/13,9,Hannover 96,34,13,6,15,60,62,-2,45,,https://en.wikipedia.org/wiki/2012%E2%80%9313_Bundesliga
2012/13,10,1. FC Nürnberg,34,11,11,12,39,47,-8,44,,https://en.wikipedia.org/wiki/2012%E2%80%9313_Bundesliga
2012/13,11,VfL Wolfsburg,34,10,13,11,47,52,-5,43,,https://en.wikipedia.org/wiki/2012%E2%80%9313_Bundesliga
2012/13,12,VfB Stuttgart,34,12,7,15,37,55,-18,43,Qualification for the Europa League third qualifying round,https://en.wikipedia.org/wiki/2012%E2%80%9313_Bundesliga
2012/13,13,Mainz 05,34,10,12,12,42,44,-2,42,,https://en.wikipedia.org/wiki/2012%E2%80%9313_Bundesliga
2012/13,14,Werder Bremen,34,8,10,16,50,66,-16,34,,https://en.wikipedia.org/wiki/2012%E2%80%9313_Bundesliga
2012/13,15,FC Augsburg,34,8,9,17,33,51,-18,33,,https://en.wikipedia.org/wiki/2012%E2%80%9313_Bundesliga
2012/13,16,1899 Hoffenheim (O),34,8,7,19,42,67,-25,31,Qualification for the relegation play-offs,https://en.wikipedia.org/wiki/2012%E2%80%9313_Bundesliga
2012/13,17,Fortuna Düsseldorf (R),34,7,9,18,39,57,-18,30,Relegation to 2. Bundesliga,https://en.wikipedia.org/wiki/2012%E2%80%9313_Bundesliga
2012/13,18,Greuther Fürth (R),34,4,9,21,26,60,-34,21,,https://en.wikipedia.org/wiki/2012%E2%80%9313_Bundesliga
