season,Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation,source_url
2015/16,1,Bayern Munich (C),34,28,4,2,80,17,+63,88,Qualification for the Champions League group stage,https://en.wikipedia.org/wiki/2015%E2%80%9316_Bundesliga
2015/16,2,Borussia Dortmund,34,24,6,4,82,34,+48,78,,https://en.wikipedia.org/wiki/2015%E2%80%9316_Bundesliga
2015/16,3,Bayer Leverkusen,34,18,6,10,56,40,+16,60,,https://en.wikipedia.org/wiki/2015%E2%80%9316_Bundesliga
2015/16,4,Borussia Mönchengladbach,34,17,4,13,67,50,+17,55,Qualification for the Champions League play-off round,https://en.wikipedia.org/wiki/2015%E2%80%9316_Bundesliga
2015/16,5,Schalke 04,34,15,7,12,51,49,+2,52,Qualification for the Europa League group stage,https://en.wikipedia.org/wiki/2015%E2%80%9316_Bundesliga
2015/16,6,Mainz 05,34,14,8,12,46,42,+4,50,,https://en.wikipedia.org/wiki/2015%E2%80%9316_Bundesliga
2015/16,7,Hertha BSC,34,14,8,12,42,42,0,50,Qualification for the Europa League third qualifying round,https://en.wikipedia.org/wiki/2015%E2%80%9316_Bundesliga
2015/16,8,VfL Wolfsburg,34,12,9,13,47,49,-2,45,,https://en.wikipedia.org/wiki/2015%E2%80%9316_Bundesliga
2015/16,9,1. FC Köln,34,10,13,11,38,42,-4,43,,https://en.wikipedia.org/wiki/2015%E2%80%9316_Bundesliga
2015/16,10,Hamburger SV,34,11,8,15,40,46,-6,41,,https://en.wikipedia.org/wiki/2015%E2%80%9316_Bundesliga
2015/16,11,FC Ingolstadt,34,10,10,14,33,42,-9,40,,https://en.wikipedia.org/wiki/2015%E2%80%9316_Bundesliga
2015/16,12,FC Augsburg,34,9,11,14,42,52,-10,38,,https://en.wikipedia.org/wiki/2015%E2%80%9316_Bundesliga
2015/16,13,Werder Bremen,34,10,8,16,50,65,-15,38,,https://en.wikipedia.org/wiki/2015%E2%80%9316_Bundesliga
2015/16,14,Darmstadt 98,34,9,11,14,38,53,-15,38,,https://en.wikipedia.org/wiki/2015%E2%80%9316_Bundesliga
2015/16,15,1899 Hoffenheim,34,9,10,15,39,54,-15,37,,https://en.wikipedia.org/wiki/2015%E2%80%9316_Bundesliga
2015/16,16,Eintracht Frankfurt (O),34,9,9,16,34,52,-18,36,Qualification for the relegation play-offs,https://en.wikipedia.org/wiki/2015%E2%80%9316_Bundesliga
2015/16,17,VfB Stuttgart (R),34,9,6,19,50,75,-25,33,Relegation to 2. Bundesliga,https://en.wikipedia.org/wiki/2015%E2%80%9316_Bundesliga
2015/16,18,Hannover 96 (R),34,7,4,23,31,62,-31,25,,https://en.wikipedia.org/wiki/2015%E2%80%9316_Bundesliga
