season,Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation,source_url
2020/21,1,Bayern Munich (C),34,24,6,4,99,44,+55,78,Qualification for the Champions League group stage,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bundesliga
2020/21,2,RB Leipzig,34,19,8,7,60,32,+28,65,,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bundesliga
2020/21,3,Borussia Dortmund,34,20,4,10,75,46,+29,64,,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bundesliga
2020/21,4,VfL Wolfsburg,34,17,10,7,61,37,+24,61,,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bundesliga
2020/21,5,Eintracht Frankfurt,34,16,12,6,69,53,+16,60,Qualification for the Europa League group stage,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bundesliga
2020/21,6,Bayer Leverkusen,34,14,10,10,53,39,+14,52,,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bundesliga
2020/21,7,Union Berlin,34,12,14,8,50,43,+7,50,Qualification for the Europa Conference League play-off round,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bundesliga
2020/21,8,Borussia Mönchengladbach,34,13,10,11,64,56,+8,49,,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bundesliga
2020/21,9,VfB Stuttgart,34,12,9,13,56,55,+1,45,,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bundesliga
2020/21,10,SC Freiburg,34,12,9,13,52,52,0,45,,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bundesliga
2020/21,11,1899 Hoffenheim,34,11,10,13,52,54,-2,43,,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bundesliga
2020/21,12,Mainz 05,34,10,9,15,39,56,-17,39,,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bundesliga
2020/21,13,FC Augsburg,34,10,6,18,36,54,-18,36,,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bundesliga
2020/21,14,Hertha BSC,34,8,11,15,41,52,-11,35,,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bundesliga
2020/21,15,Arminia Bielefeld,34,9,8,17,26,52,-26,35,,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bundesliga
2020/21,16,1. FC Köln (O),34,8,9,17,34,60,-26,33,Qualification for the relegation play-offs,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bundesliga
2020/21,17,Werder Bremen (R),34,7,10,17,36,57,-21,31,Relegation to 2. Bundesliga,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bundesliga
2020/21,18,Schalke 04 (R),34,3,7,24,25,86,-61,16,,https://en.wikipedia.org/wiki/2020%E2%80%9321_Bundesliga
