season,Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation,source_url
2017/18,1,Bayern Munich (C),34,27,3,4,92,28,+64,84,Qualification for the Champions League group stage,https://en.wikipedia.org/wiki/2017%E2%80%9318_Bundesliga
2017/18,2,Schalke 04,34,18,9,7,53,37,+16,63,,https://en.wikipedia.org/wiki/2017%E2%80%9318_Bundesliga
2017/18,3,1899 Hoffenheim,34,15,10,9,66,48,+18,55,,https://en.wikipedia.org/wiki/2017%E2%80%9318_Bundesliga
2017/18,4,Borussia Dortmund,34,15,10,9,64,47,+17,55,,https://en.wikipedia.org/wiki/2017%E2%80%9318_Bundesliga
2017/18,5,Bayer Leverkusen,34,15,10,9,58,44,+14,55,Qualification for the Europa League group stage,https://en.wikipedia.org/wiki/2017%E2%80%9318_Bundesliga
2017/18,6,RB Leipzig,34,15,8,11,57,53,+4,53,Qualification for the Europa League second qualifying round,https://en.wikipedia.org/wiki/2017%E2%80%9318_Bundesliga
2017/18,7,VfB Stuttgart,34,15,6,13,36,36,0,51,,https://en.wikipedia.org/wiki/2017%E2%80%9318_Bundesliga
2017/18,8,Eintracht Frankfurt,34,14,7,13,45,45,0,49,Qualification for the Europa League group stage,https://en.wikipedia.org/wiki/2017%E2%80%9318_Bundesliga
2017/18,9,Borussia Mönchengladbach,34,13,8,13,47,52,-5,47,,https://en.wikipedia.org/wiki/2017%E2%80%9318_Bundesliga
2017/18,10,Hertha BSC,34,10,13,11,43,46,-3,43,,https://en.wikipedia.org/wiki/2017%E2%80%9318_Bundesliga
2017/18,11,Werder Bremen,34,10,12,12,37,40,-3,42,,https://en.wikipedia.org/wiki/2017%E2%80%9318_Bundesliga
2017/18,12,FC Augsburg,34,10,11,13,43,46,-3,41,,https://en.wikipedia.org/wiki/2017%E2%80%9318_Bundesliga
2017/18,13,Hannover 96,34,10,9,15,44,54,-10,39,,https://en.wikipedia.org/wiki/2017%E2%80%9318_Bundesliga
2017/18,14,Mainz 05,34,9,9,16,38,52,-14,36,,https://en.wikipedia.org/wiki/2017%E2%80%9318_Bundesliga
2017/18,15,SC Freiburg,34,8,12,14,32,56,-24,36,,https://en.wikipedia.org/wiki/2017%E2%80%9318_Bundesliga
2017/18,16,VfL Wolfsburg (O),34,6,15,13,36,48,-12,33,Qualification for the relegation play-offs,https://en.wikipedia.org/wiki/2017%E2%80%9318_Bundesliga
2017/18,17,Hamburger SV (R),34,8,7,19,29,53,-24,31,Relegation to 2. Bundesliga,https://en.wikipedia.org/wiki/2017%E2%80%9318_Bundesliga
2017/18,18,1. FC Köln (R),34,5,7,22,35,70,-35,22,,https://en.wikipedia.org/wiki/2017%E2%80%9318_Bundesliga
