season,Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation,source_url
2010/11,1,Borussia Dortmund (C),34,23,6,5,67,22,+45,75,Qualification to Champions League group stage,https://en.wikipedia.org/wiki/2010%E2%80%9311_Bundesliga
2010/11,2,Bayer Leverkusen,34,20,8,6,64,44,+20,68,,https://en.wikipedia.org/wiki/2010%E2%80%9311_Bundesliga
2010/11,3,Bayern Munich,34,19,8,7,81,40,+41,65,Qualification to Champions League play-off round,https://en.wikipedia.org/wiki/2010%E2%80%9311_Bundesliga
2010/11,4,Hannover 96,34,19,3,12,49,45,+4,60,Qualification to Europa League play-off round,https://en.wikipedia.org/wiki/2010%E2%80%9311_Bundesliga
2010/11,5,FSV Mainz 05,34,18,4,12,52,39,+13,58,Qualification to Europa League third qualifying round,https://en.wikipedia.org/wiki/2010%E2%80%9311_Bundesliga
2010/11,6,1. FC Nürnberg,34,13,8,13,47,45,+2,47,,https://en.wikipedia.org/wiki/2010%E2%80%9311_Bundesliga
2010/11,7,1. FC Kaiserslautern,34,13,7,14,48,51,-3,46,,https://en.wikipedia.org/wiki/2010%E2%80%9311_Bundesliga
2010/11,8,Hamburger SV,34,12,9,13,46,52,-6,45,,https://en.wikipedia.org/wiki/2010%E2%80%9311_Bundesliga
2010/11,9,SC Freiburg,34,13,5,16,41,50,-9,44,,https://en.wikipedia.org/wiki/2010%E2%80%9311_Bundesliga
2010/11,10,1. FC Köln,34,13,5,16,47,62,-15,44,,https://en.wikipedia.org/wiki/2010%E2%80%9311_Bundesliga
2010/11,11,1899 Hoffenheim,34,11,10,13,50,50,0,43,,https://en.wikipedia.org/wiki/2010%E2%80%9311_Bundesliga
2010/11,12,VfB Stuttgart,34,12,6,16,60,59,+1,42,,https://en.wikipedia.org/wiki/2010%E2%80%9311_Bundesliga
2010/11,13,Werder Bremen,34,10,11,13,47,61,-14,41,,https://en.wikipedia.org/wiki/2010%E2%80%9311_Bundesliga
2010/11,14,Schalke 04,34,11,7,16,38,44,-6,40,Qualification to Europa League play-off round,https://en.wikipedia.org/wiki/2010%E2%80%9311_Bundesliga
2010/11,15,VfL Wolfsburg,34,9,11,14,43,48,-5,38,,https://en.wikipedia.org/wiki/2010%E2%80%9311_Bundesliga
2010/11,16,Borussia Mönchengladbach (O),34,10,6,18,48,65,-17,36,Qualification to relegation play-offs,https://en.wikipedia.org/wiki/2010%E2%80%9311_Bundesliga
2010/11,17,Eintracht Frankfurt (R),34,9,7,18,31,49,-18,34,Relegation to 2. Bundesliga,https://en.wikipedia.org/wiki/2010%E2%80%9311_Bundesliga
2010/11,18,FC St. Pauli (R),34,8,5,21,35,68,-33,29,,https://en.wikipedia.org/wiki/2010%E2%80%9311_Bundesliga
