season,Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation,source_url
2013/14,1,Bayern Munich (C),34,29,3,2,94,23,+71,90,Qualification for the Champions League group stage,https://en.wikipedia.org/wiki/2013%E2%80%9314_Bundesliga
2013/14,2,Borussia Dortmund,34,22,5,7,80,38,+42,71,,https://en.wikipedia.org/wiki/2013%E2%80%9314_Bundesliga
2013/14,3,Schalke 04,34,19,7,8,63,43,+20,64,,https://en.wikipedia.org/wiki/2013%E2%80%9314_Bundesliga
2013/14,4,Bayer Leverkusen,34,19,4,11,60,41,+19,61,Qualification for the Champions League play-off round,https://en.wikipedia.org/wiki/2013%E2%80%9314_Bundesliga
2013/14,5,VfL Wolfsburg,34,18,6,10,63,50,+13,60,Qualification for the Europa League group stage,https://en.wikipedia.org/wiki/2013%E2%80%9314_Bundesliga
2013/14,6,Borussia Mönchengladbach,34,16,7,11,59,43,+16,55,Qualification for the Europa League play-off round,https://en.wikipedia.org/wiki/2013%E2%80%9314_Bundesliga
2013/14,7,Mainz 05,34,16,5,13,52,54,-2,53,Qualification for the Europa League third qualifying round,https://en.wikipedia.org/wiki/2013%E2%80%9314_Bundesliga
2013/14,8,FC Augsburg,34,15,7,12,47,47,0,52,,https://en.wikipedia.org/wiki/2013%E2%80%9314_Bundesliga
2013/14,9,1899 Hoffenheim,34,11,11,12,72,70,+2,44,,https://en.wikipedia.org/wiki/2013%E2%80%9314_Bundesliga
2013/14,10,Hannover 96,34,12,6,16,46,59,-13,42,,https://en.wikipedia.org/wiki/2013%E2%80%9314_Bundesliga
2013/14,11,Hertha BSC,34,11,8,15,40,48,-8,41,,https://en.wikipedia.org/wiki/2013%E2%80%9314_Bundesliga
2013/14,12,Werder Bremen,34,10,9,15,42,66,-24,39,,https://en.wikipedia.org/wiki/2013%E2%80%9314_Bundesliga
2013/14,13,Eintracht Frankfurt,34,9,9,16,40,57,-17,36,,https://en.wikipedia.org/wiki/2013%E2%80%9314_Bundesliga
2013/14,14,SC Freiburg,34,9,9,16,43,61,-18,36,,https://en.wikipedia.org/wiki/2013%E2%80%9314_Bundesliga
2013/14,15,VfB Stuttgart,34,8,8,18,49,62,-13,32,,https://en.wikipedia.org/wiki/2013%E2%80%9314_Bundesliga
2013/14,16,Hamburger SV (O),34,7,6,21,51,75,-24,27,Qualification for the relegation play-offs,https://en.wikipedia.org/wiki/2013%E2%80%9314_Bundesliga
2013/14,17,1. FC Nürnberg (R),34,5,11,18,37,70,-33,26,Relegation to 2. Bundesliga,https://en.wikipedia.org/wiki/2013%E2%80%9314_Bundesliga
2013/14,18,Eintracht Braunschweig (R),34,6,7,21,29,60,-31,25,,https://en.wikipedia.org/wiki/2013%E2%80%9314_Bundesliga
