season,Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation,source_url
2023/24,1,Bayer Leverkusen (C),34,28,6,0,89,24,+65,90,Qualification for the Champions League league phase,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bundesliga
2023/24,2,VfB Stuttgart,34,23,4,7,78,39,+39,73,,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bundesliga
2023/24,3,Bayern Munich,34,23,3,8,94,45,+49,72,,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bundesliga
2023/24,4,RB Leipzig,34,19,8,7,77,39,+38,65,,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bundesliga
2023/24,5,Borussia Dortmund,34,18,9,7,68,43,+25,63,,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bundesliga
2023/24,6,Eintracht Frankfurt,34,11,14,9,51,50,+1,47,Qualification for the Europa League league phase,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bundesliga
2023/24,7,TSG Hoffenheim,34,13,7,14,66,66,0,46,,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bundesliga
2023/24,8,1. FC Heidenheim,34,10,12,12,50,55,-5,42,Qualification for the Conference League play-off round,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bundesliga
2023/24,9,Werder Bremen,34,11,9,14,48,54,-6,42,,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bundesliga
2023/24,10,SC Freiburg,34,11,9,14,45,58,-13,42,,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bundesliga
2023/24,11,FC Augsburg,34,10,9,15,50,60,-10,39,,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bundesliga
2023/24,12,VfL Wolfsburg,34,10,7,17,41,56,-15,37,,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bundesliga
2023/24,13,Mainz 05,34,7,14,13,39,51,-12,35,,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bundesliga
2023/24,14,Borussia Mönchengladbach,34,7,13,14,56,67,-11,34,,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bundesliga
2023/24,15,Union Berlin,34,9,6,19,33,58,-25,33,,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bundesliga
2023/24,16,VfL Bochum (O),34,7,12,15,42,74,-32,33,Qualification for the relegation play-offs,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bundesliga
2023/24,17,1. FC Köln (R),34,5,12,17,28,60,-32,27,Relegation to 2. Bundesliga,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bundesliga
2023/24,18,Darmstadt 98 (R),34,3,8,23,30,86,-56,17,,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bundesliga
